TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
1999,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84514
1999,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64694
1999,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,38921
1999,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,556300
1999,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8281
1999,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,22009
1999,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,49632
1999,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,208451
1999,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,525809
1999,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12242
1999,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,265667
1999,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3139
1999,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4110
1999,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13536
1999,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1022
1999,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,37832
1999,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1854
1999,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,60944
1999,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,142128
1999,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,43287
1999,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,50710
1999,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13262
1999,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,28407
1999,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,69457
1999,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,154860
